nom_dept,nom_com,code_insee_com,polluant,concentration_moyenne,concentration_min,concentration_max,nb_mesures
ARIEGE,SAINT-GIRONS,9261,NO,3.5,0.6,18.5,230
ARIEGE,SAINT-GIRONS,9261,NO2,8.1,0.0,18.4,612
ARIEGE,SAINT-GIRONS,9261,NOX,13.77,1.8,39.5,608
ARIEGE,SAINT-GIRONS,9261,O3,48.51,7.4,108.8,2133
ARIEGE,SAINT-GIRONS,9261,PM10,11.77,1.8,209.8,909
ARIEGE,SAINT-GIRONS,9261,PM2.5,7.48,1.2,59.2,1546
AVEYRON,RODEZ,12202,NO,5.02,-0.2,64.2,1215
AVEYRON,RODEZ,12202,NO2,10.03,1.5,40.0,1213
AVEYRON,RODEZ,12202,NOX,17.87,2.4,138.5,1523
AVEYRON,RODEZ,12202,O3,60.96,12.1,119.6,1858
AVEYRON,RODEZ,12202,PM10,10.79,1.3,65.3,913
AVEYRON,RODEZ,12202,PM2.5,6.68,0.9,30.8,1350
GARD,ALES,30007,NO,6.31,0.2,73.5,1098
GARD,ALES,30007,NO2,11.39,1.5,35.2,1120
GARD,ALES,30007,NOX,20.97,1.3,146.2,1100
GARD,ALES,30007,O3,42.82,4.8,84.2,492
GARD,ALES,30007,PM10,11.86,1.4,101.3,422
GARD,ALES,30007,PM2.5,7.44,0.9,34.5,431
GARD,LA CALMETTE,30061,O3,51.6,6.6,109.2,886
GARD,NIMES,30189,NO,8.68,-1.1,174.9,1411
GARD,NIMES,30189,NO2,18.21,0.7,63.2,3142
GARD,NIMES,30189,NOX,27.33,0.0,302.6,1426
GARD,NIMES,30189,O3,56.48,2.9,139.5,897
GARD,NIMES,30189,PM10,15.82,2.8,118.5,1696
GARD,NIMES,30189,PM2.5,8.69,0.9,53.7,2062
GARD,SAZE,30315,O3,59.7,4.4,136.9,1876
GERS,AUCH,32013,NO,5.08,-0.1,32.6,476
GERS,AUCH,32013,NO2,10.35,2.7,25.5,1301
GERS,AUCH,32013,NOX,17.91,3.2,67.3,1020
GERS,AUCH,32013,O3,48.07,5.3,95.8,1317
GERS,AUCH,32013,PM10,12.81,1.9,41.9,480
GERS,AUCH,32013,PM2.5,8.27,1.1,34.9,489
GERS,GAUDONVILLE,32139,O3,64.42,17.5,132.7,1871
GERS,PEYRUSSE-VIEILLE,32317,NO,0.15,-0.47,0.85,1105
GERS,PEYRUSSE-VIEILLE,32317,NO2,0.88,0.04,5.39,1398
GERS,PEYRUSSE-VIEILLE,32317,NOX,1.05,0.02,5.84,1693
GERS,PEYRUSSE-VIEILLE,32317,O3,63.61,21.1,129.6,1836
GERS,PEYRUSSE-VIEILLE,32317,PM10,9.38,1.2,94.5,873
GERS,PEYRUSSE-VIEILLE,32317,PM2.5,6.06,0.8,31.2,1852
HAUTE-GARONNE,BELESTA-EN-LAURAGAIS,31060,O3,64.09,19.2,130.1,1859
HAUTE-GARONNE,BESSIERES,31066,PM10,12.24,3.0,62.8,889
HAUTE-GARONNE,BLAGNAC,31069,NO,6.22,-0.3,72.4,2451
HAUTE-GARONNE,BLAGNAC,31069,NO2,14.26,2.0,48.9,4403
HAUTE-GARONNE,BLAGNAC,31069,NOX,24.13,2.5,146.9,3721
HAUTE-GARONNE,BLAGNAC,31069,PM10,13.25,1.9,69.7,2108
HAUTE-GARONNE,BLAGNAC,31069,PM2.5,8.6,1.3,50.1,1522
HAUTE-GARONNE,MIRAMONT-DE-COMMINGES,31344,H2S,1.24,-1.0,19.5,1542
HAUTE-GARONNE,MIRAMONT-DE-COMMINGES,31344,O3,49.33,3.3,84.3,664
HAUTE-GARONNE,MIRAMONT-DE-COMMINGES,31344,SO2,0.91,-1.9,6.9,1544
HAUTE-GARONNE,MONTGISCARD,31381,NO2,5.42,0.8,31.5,1545
HAUTE-GARONNE,MONTGISCARD,31381,O3,61.45,10.3,112.0,1875
HAUTE-GARONNE,SAINT-GAUDENS,31483,H2S,0.84,-0.8,19.0,1519
HAUTE-GARONNE,SAINT-GAUDENS,31483,SO2,0.42,-1.9,9.4,1523
HAUTE-GARONNE,TOULOUSE,31555,NO,21.21,-0.1,187.9,7409
HAUTE-GARONNE,TOULOUSE,31555,NO2,24.1,1.6,89.4,8628
HAUTE-GARONNE,TOULOUSE,31555,NOX,55.79,2.4,357.3,9302
HAUTE-GARONNE,TOULOUSE,31555,O3,55.15,4.0,119.0,5213
HAUTE-GARONNE,TOULOUSE,31555,PM10,16.33,2.3,93.2,7435
HAUTE-GARONNE,TOULOUSE,31555,PM2.5,9.42,0.9,58.5,7419
HAUTES-PYRENEES,ARGELES-GAZOST,65025,NO,5.84,0.7,32.5,300
HAUTES-PYRENEES,ARGELES-GAZOST,65025,NO2,10.02,2.1,28.1,900
HAUTES-PYRENEES,ARGELES-GAZOST,65025,NOX,18.92,4.0,77.0,900
HAUTES-PYRENEES,ARGELES-GAZOST,65025,O3,44.11,7.1,85.0,1489
HAUTES-PYRENEES,ARGELES-GAZOST,65025,PM10,14.55,2.2,96.8,181
HAUTES-PYRENEES,ARGELES-GAZOST,65025,PM2.5,8.75,1.1,50.5,880
HAUTES-PYRENEES,ESCALA,65159,NO,1.02,0.4,1.8,65
HAUTES-PYRENEES,ESCALA,65159,NO2,5.43,1.6,9.4,65
HAUTES-PYRENEES,ESCALA,65159,NOX,6.96,2.5,12.1,65
HAUTES-PYRENEES,ESCALA,65159,PM10,9.52,2.4,98.8,66
HAUTES-PYRENEES,ESCALA,65159,PM2.5,6.14,1.5,29.9,66
HAUTES-PYRENEES,LOURDES,65286,NO,3.79,0.1,41.6,1225
HAUTES-PYRENEES,LOURDES,65286,NO2,9.57,0.9,38.0,1585
HAUTES-PYRENEES,LOURDES,65286,NOX,15.68,1.4,99.5,1829
HAUTES-PYRENEES,LOURDES,65286,O3,52.71,3.8,113.1,1841
HAUTES-PYRENEES,LOURDES,65286,PM10,12.36,1.7,93.1,890
HAUTES-PYRENEES,LOURDES,65286,PM2.5,7.64,0.7,37.2,1236
HAUTES-PYRENEES,TARBES,65440,NO,6.97,-0.6,62.8,1607
HAUTES-PYRENEES,TARBES,65440,NO2,12.99,1.5,43.7,1594
HAUTES-PYRENEES,TARBES,65440,NOX,23.66,1.2,136.3,1607
HAUTES-PYRENEES,TARBES,65440,O3,51.1,3.1,108.5,1837
HAUTES-PYRENEES,TARBES,65440,PM10,13.78,2.6,95.1,897
HAUTES-PYRENEES,TARBES,65440,PM2.5,9.62,1.1,58.3,1546
HERAULT,AGDE,34003,NO,0.99,-0.3,4.3,1204
HERAULT,AGDE,34003,NO2,5.72,-0.7,16.3,1549
HERAULT,AGDE,34003,NOX,7.29,0.4,22.8,1545
HERAULT,AGDE,34003,O3,68.42,23.1,126.3,1904
HERAULT,AGDE,34003,PM10,12.84,2.7,61.2,440
HERAULT,AGDE,34003,PM2.5,7.47,1.1,40.0,447
HERAULT,BEZIERS,34032,NO,10.82,-0.9,125.1,495
HERAULT,BEZIERS,34032,NO2,17.61,2.2,49.6,1188
HERAULT,BEZIERS,34032,NOX,34.28,2.0,241.0,1170
HERAULT,BEZIERS,34032,PM10,13.06,2.8,39.1,161
HERAULT,BEZIERS,34032,PM2.5,8.2,0.9,34.0,507
HERAULT,CORNEILHAN,34084,O3,65.52,17.1,116.4,1892
HERAULT,LATTES,34129,O3,60.32,6.9,116.0,882
HERAULT,LUNEL-VIEL,34146,NO,3.18,-0.4,23.0,1231
HERAULT,LUNEL-VIEL,34146,NO2,8.01,0.5,29.8,1535
HERAULT,LUNEL-VIEL,34146,NOX,12.82,0.6,58.7,1540
HERAULT,LUNEL-VIEL,34146,PM10,13.03,2.1,91.6,910
HERAULT,LUNEL-VIEL,34146,PM2.5,8.22,0.7,40.7,1573
HERAULT,MONTPELLIER,34172,NO,23.7,-0.8,231.4,4482
HERAULT,MONTPELLIER,34172,NO2,26.1,1.4,91.7,6781
HERAULT,MONTPELLIER,34172,NOX,66.04,2.2,438.0,5775
HERAULT,MONTPELLIER,34172,O3,54.31,6.3,122.7,1792
HERAULT,MONTPELLIER,34172,PM10,20.19,2.8,119.0,2208
HERAULT,MONTPELLIER,34172,PM2.5,10.04,0.9,47.0,3447
HERAULT,SAINT-GELY-DU-FESC,34255,O3,63.89,14.6,124.6,1716
HERAULT,SETE,34301,NO,6.67,1.0,53.2,188
HERAULT,SETE,34301,NO2,19.12,1.6,97.3,697
HERAULT,SETE,34301,NOX,22.94,5.2,130.4,188
LOT,BIARS-SUR-CERE,46029,PM10,12.35,2.6,51.1,338
LOT,BIARS-SUR-CERE,46029,PM2.5,8.35,1.4,33.7,338
LOZERE,MENDE,48095,PM10,7.52,1.1,29.2,388
LOZERE,MENDE,48095,PM2.5,5.58,0.7,26.8,388
PYRENEES-ORIENTALES,BOLQUERE,66020,PM10,9.24,0.4,175.4,558
PYRENEES-ORIENTALES,BOLQUERE,66020,PM2.5,5.22,0.3,39.5,557
PYRENEES-ORIENTALES,PERPIGNAN,66136,NO,29.18,4.7,124.4,1209
PYRENEES-ORIENTALES,PERPIGNAN,66136,NO2,25.47,1.8,74.0,3650
PYRENEES-ORIENTALES,PERPIGNAN,66136,NOX,81.76,20.0,253.9,1888
PYRENEES-ORIENTALES,PERPIGNAN,66136,O3,61.36,11.7,116.8,2231
PYRENEES-ORIENTALES,PERPIGNAN,66136,PM10,18.27,2.0,119.3,1795
PYRENEES-ORIENTALES,PERPIGNAN,66136,PM2.5,8.13,0.8,34.2,1524
PYRENEES-ORIENTALES,SAINT-ESTEVE,66172,O3,66.47,18.2,125.1,2129
TARN,ALBI,81004,NO,2.74,0.2,42.5,1241
TARN,ALBI,81004,NO2,10.0,1.7,36.7,2204
TARN,ALBI,81004,NOX,14.58,2.0,102.0,1878
TARN,ALBI,81004,PM10,12.94,2.6,98.7,898
TARN,ALBI,81004,PM2.5,9.67,2.3,34.2,102
TARN,CASTRES,81065,NO,1.62,-0.1,14.3,1206
TARN,CASTRES,81065,NO2,5.76,-0.2,20.4,1217
TARN,CASTRES,81065,NOX,8.02,0.4,37.2,1229
TARN,CASTRES,81065,O3,54.74,4.1,123.3,1846
TARN,CASTRES,81065,PM10,12.7,3.4,91.4,915
TARN,CASTRES,81065,PM2.5,8.67,1.6,40.5,935
TARN-ET-GARONNE,MONTAUBAN,82121,NO,9.24,-0.8,91.0,1694
TARN-ET-GARONNE,MONTAUBAN,82121,NO2,14.05,1.6,42.9,1687
TARN-ET-GARONNE,MONTAUBAN,82121,NOX,26.35,1.7,182.0,2232
TARN-ET-GARONNE,MONTAUBAN,82121,O3,49.19,3.9,97.2,2193
TARN-ET-GARONNE,MONTAUBAN,82121,PM10,12.87,2.7,75.3,916
TARN-ET-GARONNE,MONTAUBAN,82121,PM2.5,9.69,1.5,52.6,1888
